date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2022-08-01,,,,,,,,,,,
2022-08-02,,,,,,,,,,,
2022-08-03,,,,,,,,,,,
2022-08-04,35.93684210526315,24.83684210526316,332.6842105263158,30.77368421052632,42.199999999999996,79.84210526315789,0.4126315789473684,0.0,2.4973684210526317,,
2022-08-05,24.166666666666668,16.820833333333333,305.2083333333333,28.71666666666667,28.541666666666668,36.625,0.14,0.0,1.0479166666666666,70.42105263157895,47.31578947368421
2022-08-06,23.883333333333336,16.466666666666665,277.5833333333333,27.90833333333333,24.7625,33.833333333333336,0.125,0.0,1.3604166666666666,55.75,29.458333333333332
2022-08-07,19.179166666666667,13.308333333333332,269.2916666666667,27.65833333333333,23.09583333333333,27.916666666666668,0.13125,0.08333333333333333,1.6354166666666667,59.041666666666664,32.625
2022-08-08,23.991666666666664,16.275000000000002,282.5416666666667,28.329166666666666,23.579166666666666,38.958333333333336,0.22833333333333336,0.7083333333333334,2.1479166666666667,55.25,30.083333333333332
2022-08-09,22.537499999999998,14.883333333333333,268.5416666666667,25.916666666666668,20.224999999999998,37.958333333333336,0.2833333333333333,1.625,2.0083333333333333,56.541666666666664,31.041666666666668
2022-08-10,25.833333333333332,16.629166666666666,253.91666666666666,22.066666666666666,20.520833333333332,49.416666666666664,0.265,1.7083333333333333,2.3125,58.25,33.125
2022-08-11,31.787499999999998,20.404166666666665,224.79166666666666,19.575,27.15833333333333,53.333333333333336,0.27166666666666667,2.5833333333333335,2.277083333333333,62.25,36.0
2022-08-12,35.3125,23.425,225.54166666666666,25.650000000000002,42.89166666666667,38.958333333333336,0.24250000000000002,1.0416666666666667,2.43125,71.95833333333333,49.25
2022-08-13,40.36666666666667,26.525000000000002,258.25,23.84166666666667,48.541666666666664,50.916666666666664,0.2833333333333333,1.2083333333333333,2.277083333333333,76.5,57.75
